RAh,RAm,RAs,DEg,DEm,Des,Mag,Name
01,53,31.7, +19,17,45, 4.83, GA1 ARI
01,57,10.0, -47,23,06, 4.83,
02,13,13.2, +44,13,55, 4.83, 60 AND
03,19,21.6, +03,22,13, 4.83, KA1 CET
05,17,29.0, -34,53,43, 4.83, OK COL
05,13,45.4, -67,11,08, 4.83, TH DOR
06,53,32.8, -20,13,27, 4.83, 15 CMA
07,08,51.0, -39,39,21, 4.83,
08,21,23.0, -33,03,16, 4.83,
09,16,11.3, +54,01,18, 4.83, 18 UMA
10,22,19.5, -41,39,00, 4.83,
11,24,36.5, -10,51,34, 4.83, EP CRT
14,10,23.9, +25,05,30, 4.83, 12 BOO
14,41, 8.8, +13,43,42, 4.83, ZE BOO
16,02,17.7, +22,48,16, 4.83, PI SER
16,40,55.0, +64,35,20, 4.83, 18 DRA
17,49,10.4, -31,42,12, 4.83,
18,46, 4.4, +26,39,43, 4.83,
18,54,10.1, -22,44,42, 4.83, NY1 SGR
18,57, 3.6, -05,50,46, 4.83, ET SCT
19,58,57.1, -26,11,44, 4.83, 60 SGR
20,13,17.9, +46,48,57, 4.83, 30 CYG
01,30,11.1, +06,08,38, 4.84, MY PSC
02,03,54.7, +42,19,51, 4.84, GA2 AND
02,39,33.7, -11,52,20, 4.84, EP CET
02,45,32.6, -67,37,00, 4.84, ZE HYI
03,19,59.3, +65,39,09, 4.84,
04,13,56.3, +09,15,49, 4.84, 47 TAU
07,39,27.3, -38,18,30, 4.84,
08,08,27.4, +51,30,24, 4.84, 27 LYN
10,30,37.5, +55,58,50, 4.84, 36 UMA
10,35, 5.5, +75,42,46, 4.84,
11,00,33.6, +03,37,03, 4.84, 58 LEO
16,32,36.2, +11,29,17, 4.84, 29 HER
20,48,56.2, +46,06,51, 4.84, 55 CYG
21,04,24.2, -19,51,18, 4.84, ET CAP
22,05,40.7, +05,03,31, 4.84, NY PEG
01,56,40.1, -22,31,36, 4.85, 56 CET
04,21,33.1, +46,29,56, 4.85, 53 PER
07,29,51.4, -23,01,28, 4.85,
10,46,51.2, -64,23,00, 4.85,
11,45,17.0, +08,15,30, 4.85, XI VIR
13,03,33.1, -49,31,38, 4.85, XI1 CEN
13,12, 3.1, -37,48,11, 4.85,
16,22, 5.7, +30,53,32, 4.85, XI CRB
16,45,17.7, +56,46,55, 4.85,
19,15,32.3, -25,15,24, 4.85, PS SGR
22,43,30.0, -41,24,52, 4.85, RH GRU
22,45,37.8, -53,30,00, 4.85, ET GRU
23,06,36.8, +59,25,12, 4.85, 1 CAS
23,17,44.6, +49,00,55, 4.85, 8 AND
01,15,46.2, -68,52,34, 4.86, KA TUC
02,35,52.4, +05,35,36, 4.86, NY CET
03,48,35.8, -37,37,14, 4.86,
05,13,25.6, +38,29,04, 4.86, MY AUR
05,41,17.7, +16,32,02, 4.86, 126 TAU
05,49, 0.9, +24,34,03, 4.86, 132 TAU
08,35,19.6, -58,00,33, 4.86,
08,42,25.4, -53,06,50, 4.86,
10,08,56.2, -51,48,40, 4.86,
12,26,30.9, -63,07,21, 4.86,
14,19,45.1, +16,18,25, 4.86, 20 BOO
14,41,38.7, +08,09,42, 4.86, 31 BOO
15,17,38.8, -63,36,38, 4.86, EP CIR
17,56,47.3, -44,20,32, 4.86,
18,20,52.0, +03,22,38, 4.86, 74 OPH
19,46,21.6, -19,45,40, 4.86, 56 SGR
23,58,40.3, -03,33,22, 4.86, 27 PSC
02,17, 3.2, +34,13,28, 4.87, DE TRI
03,11,56.3, +74,23,37, 4.87,
04,14,23.6, -10,15,23, 4.87, 39 ERI
05,53, 6.8, -33,48,05, 4.87, LA COL
06,46,14.1, +59,26,30, 4.87, 12 LYN
11,18,10.9, +31,31,45, 4.87, XI UMA
13,17,13.0, -66,47,01, 4.87,
17,04,49.3, -34,07,23, 4.87,
17,32,15.9, +55,10,22, 4.87, NY2 DRA
17,43,25.7, -21,41,00, 4.87, 58 OPH
18,44,19.3, -35,38,32, 4.87,
18,58,27.6, -52,56,18, 4.87, LA TEL
18,58,43.3, -37,06,26, 4.87, EP CRA
23,47, 3.4, +58,39,07, 4.87, TA CAS
01,22,20.3, +45,31,44, 4.88, XI AND
03,18,22.1, -22,30,41, 4.88, 15 ERI
04,49,54.6, +37,29,18, 4.88,
05,27,38.0, +21,56,13, 4.88, 114 TAU
07,46, 7.4, +18,30,36, 4.88, 81 GEM
08,41,43.2, -15,56,36, 4.88, 9 HYA
09,54,12.2, -25,55,55, 4.88,
12,41,53.0, +10,14,08, 4.88, RH VIR
15,58,11.3, -14,16,46, 4.88, 48 LIB
17,32,10.4, +55,11,03, 4.88, NY1 DRA
17,57,47.6, -41,42,58, 4.88,
20,37,35.2, -61,31,48, 4.88, RH PAV
22,39,15.6, +39,03,01, 4.88, 10 LAC
23,59, 0.4, +55,45,18, 4.88, SI CAS
00,11,15.8, -15,28,05, 4.89, 6 CET
00,48,50.0, +50,58,06, 4.89, NY CAS
02,25,56.9, -12,17,26, 4.89, RH CET
03,14,54.0, +21,02,40, 4.89, ZE ARI
07,13,13.3, -45,10,59, 4.89,
08,39,42.5, -29,33,40, 4.89, ZE PYX
08,55,31.5, -27,40,55, 4.89, DE PYX
10,31,21.8, -53,42,56, 4.89,
10,37,13.7, -27,24,46, 4.89,
16,03,24.0, -38,36,09, 4.89,
16,56, 1.6, +65,08,05, 4.89, 19 DRA
19,44,16.5, +37,21,16, 4.89, 15 CYG
20,36,43.5, -02,32,59, 4.89, 70 AQL
20,49,28.9, -46,13,37, 4.89, ZE IND
01,25,37.1, -14,35,56, 4.90, 46 CET
02,33,50.6, -28,13,57, 4.90, OM FOR
06,19,59.5, -02,56,40, 4.90,
06,57,37.0, +45,05,39, 4.90, 16 LYN
07,11,39.3, +39,19,14, 4.90, 63 AUR
07,39, 9.9, +34,35,04, 4.90, OK GEM
11,51,51.2, -65,12,22, 4.90,
12,53,19.3, +21,14,25, 4.90, 35 COM
13,00,16.4, +30,47,06, 4.90, 37 COM
16,38,44.7, +48,55,42, 4.90, 42 HER
18,43,31.2, -08,16,31, 4.90, EP SCT
19,35,12.8, -48,05,57, 4.90, JO TEL
20,49,58.0, -33,46,48, 4.90, AL MIC
21,34,46.5, +38,32,03, 4.90, 72 CYG
22,55,13.6, +08,48,58, 4.90, RH PEG
02,42,14.9, +40,11,38, 4.91, 12 PER
04,31,52.6, -00.001,02,39, 4.91, 45 ERI
05,01,25.5, -20,03,07, 4.91,
05,42,28.6, +01,28,29, 4.91, 51 ORI
05,49,32.9, +12,39,04, 4.91, 134 TAU
06,24,53.8, +49,17,17, 4.91, PS1 AUR
10,38,34.9, -16,52,36, 4.91, PH3 HYA
11,46,31.0, -40,30,01, 4.91,
11,59,37.3, -78,13,18, 4.91, EP CHA
12,50,41.1, -33,59,57, 4.91,
13,49,42.7, +21,15,51, 4.91, 6 BOO
14,10,50.4, -16,18,07, 4.91,
14,18,13.6, -81,00,27, 4.91, ET APS
15,14,37.2, -31,31,09, 4.91, 1 LUP
16,28,28.1, -70,05,04, 4.91, ZE TRA
17,05,22.6, +12,44,27, 4.91, 60 HER
20,29,38.9, -02,53,08, 4.91, 69 AQL
20,44,52.4, +25,16,15, 4.91, 30 VUL
21,56,39.1, +63,37,33, 4.91,
23,30, 1.9, +58,32,57, 4.91,
07,10,13.6, -04,14,14, 4.92, 20 MON
08,56,58.3, -59,13,46, 4.92,
13,14,14.7, -59,06,12, 4.92,
13,13,42.9, +40,09,10, 4.92,
14,22,36.9, -58,27,34, 4.92,
14,44,59.1, -35,11,31, 4.92,
15,00,58.3, -08,31,08, 4.92, DE LIB
16,05,26.4, -19,48,07, 4.92, BE2 SCO
18,53,13.5, +50,42,29, 4.92,
19,55,37.7, +52,26,20, 4.92, PS CYG
20,47,10.7, +34,22,27, 4.92,
22,10, 8.7, -32,32,55, 4.92, TA PSA
02,59, 3.6, +35,10,59, 4.93, 24 PER
04,10,50.5, -41,59,37, 4.93, DE HOR
04,20,24.6, +34,34,00, 4.93, 54 PER
06,04,59.0, -16,29,04, 4.93, 17 LEP
06,38,37.6, -48,13,13, 4.93,
07,03,53.7, -49,35,02, 4.93,
07,59,44.1, -03,40,47, 4.93, 27 MON
08,49,47.7, -45,18,28, 4.93,
10,31, 2.0, -73,13,18, 4.93,
12,41,56.6, -59,41,08, 4.93,
13,00,43.7, +56,21,59, 4.93, 78 UMA
15,07,18.0, +24,52,09, 4.93, 45 BOO
19,00, 0.8, +32,08,44, 4.93, LA LYR
20,09,25.5, +36,50,23, 4.93, 28 CYG
23,43,59.4, +29,21,42, 4.93, 78 PEG
00,43,28.0, +47,01,29, 4.94, PI CAS
01,40,34.7, +40,34,37, 4.94, TA AND
02,12,22.2, +30,18,11, 4.94, 6 TRI
04,17,15.6, +20,34,43, 4.94, OM2 TAU
04,59,15.3, +37,53,25, 4.94, OM AUR
05,19,16.5, +22,05,47, 4.94, 109 TAU
07,35,39.7, -52,32,02, 4.94,
07,40,23.1, -15,15,49, 4.94,
08,03,31.0, +27,47,39, 4.94, CH GEM
09,15,36.7, -38,34,12, 4.94,
09,42,14.4, -23,54,56, 4.94,
09,54,52.1, -19,00,34, 4.94,
11,05,19.9, -27,17,36, 4.94, CH1 HYA
11,40,53.6, -62,05,23, 4.94,
12,34,43.9, +70,01,18, 4.94, 6 DRA
12,51,41.8, +27,32,26, 4.94, 31 COM
13,34, 7.8, +03,39,32, 4.94, 78 VIR
14,40,43.5, +16,25,06, 4.94, PI1 BOO
14,46, 0.0, -25,26,35, 4.94, 54 HYA
14,51, 0.9, -02,17,57, 4.94, 11 LIB
15,24,11.8, -10,19,20, 4.94, EP LIB
16,13,28.6, -54,37,50, 4.94, KA NOR
16,11,59.9, -10,03,51, 4.94, PS SCO
16,34, 4.8, -44,02,43, 4.94, MY NOR
19,55,51.6, +38,29,12, 4.94, 22 CYG
20,07,23.1, -52,52,51, 4.94, XI TEL
22,52, 2.0, +43,18,45, 4.94, 15 LAC
23,26,55.9, +01,15,20, 4.94, KA PSC
00,04,30.0, -10,30,35, 4.94, 3 CET
01,41,47.1, +42,36,49, 4.95,
03,21,26.5, +43,19,47, 4.95, 32 PER
04,20,21.2, +27,21,03, 4.95, PH TAU
05,24,44.8, +01,50,47, 4.95, PS1 ORI
05,40,50.6, -01,07,44, 4.95,
06,01,50.3, -10,35,53, 4.95, 3 MON
06,12, 3.3, +16,07,50, 4.95, 69 ORI
06,56,16.0, -48,43,16, 4.95,
11,27,56.2, +02,51,22, 4.95, TA LEO
12,16,20.5, +23,56,43, 4.95, 7 COM
12,26,24.0, +27,16,05, 4.95, 14 COM
12,30, 6.6, +69,12,04, 4.95, 4 DRA
13,09, 3.2, -23,07,05, 4.95, PS HYA
15,57,47.3, +54,44,59, 4.95,
16,17,30.2, +75,45,19, 4.95, ET UMI
18,20,17.8, +21,57,41, 4.95, 106 HER
19,36,53.4, -07,01,39, 4.95, KA AQL
19,51, 4.0, +22,36,36, 4.95, 12 VUL
20,14,16.5, +15,11,51, 4.95, RH AQL
20,30, 3.4, +48,57,06, 4.95, OM1 CYG
22,56,25.9, +49,44,01, 4.95,
23,46, 2.0, +46,25,13, 4.95, PS AND
01,15,11.1, -45,31,54, 4.96, NY PHE
07,31, 4.5, +82,24,42, 4.96,
07,22,13.5, -19,01,00, 4.96,
12,20,20.9, +03,18,45, 4.96, 16 VIR
15,40,16.8, -23,49,05, 4.96, 42 LIB
15,31,24.7, +77,20,57, 4.96, TH UMI
16,41,34.3, -17,44,32, 4.96,
18,01,30.3, +21,35,44, 4.96, 95 HER
18,31,45.3, -45,54,54, 4.96, DE1 TEL
19,17,38.0, -18,57,11, 4.96, 43 SGR
19,55,55.2, +58,50,46, 4.96,
03,42,22.5, +33,57,54, 4.97, 40 PER
04,01,18.2, -61,04,44, 4.97, JO RET
04,28,26.3, +16,21,35, 4.97, 75 TAU
05,55,29.8, -37,07,15, 4.97, XI COL
07,33,47.8, -14,31,26, 4.97,
07,53,29.7, +26,45,57, 4.97, PH GEM
09,05,58.3, +05,05,32, 4.97, OM HYA
09,31,56.7, +11,17,59, 4.97, XI LEO
10,24, 7.8, +65,33,59, 4.97,
11,49,56.3, -70,13,32, 4.97,
13,29,42.7, -23,16,52, 4.97,
13,49,52.2, -18,08,03, 4.97, 89 VIR
14,28,10.3, -29,29,30, 4.97, 52 HYA
18,11,54.1, +31,24,19, 4.97, 104 HER
19,24, 7.5, +29,37,17, 4.97, 2 CYG
20,14,31.9, +36,48,23, 4.97, 29 CYG
01,20, 4.8, +58,13,54, 4.98, PH CAS
01,39,20.9, +44,23,10, 4.98, CH AND
02,09,25.3, +25,56,24, 4.98, 14 ARI
03,28, 3.0, +49,03,46, 4.98,
06,17,54.9, +61,30,55, 4.98, 1 LYN
07,18,40.3, -24,33,32, 4.98, 29 CMA
08,40, 1.4, -12,28,32, 4.98, 6 HYA
13,28,25.7, +13,46,43, 4.98, 70 VIR
13,34,47.7, +37,10,57, 4.98,
17,03, 7.8, +14,05,31, 4.98,
18,11,43.3, -23,42,04, 4.98, 11 SGR
18,23,54.4, +58,48,02, 4.98, 39 DRA
18,56,14.5, +04,12,07, 4.98, TH2 SER
23,18,57.6, -09,36,38, 4.98, PS3 AQR
23,24,50.2, +62,16,59, 4.98, 4 CAS
23,33,57.1, +31,19,32, 4.98, 72 PEG
01,42,43.4, -03,41,25, 4.99,
01,55,59.9, +68,41,07, 4.99, OM CAS
02,58,47.8, -64,04,16, 4.99, BE HOR
05,24,39.1, +37,23,08, 4.99, SI AUR
05,24,25.4, +17,23,00, 4.99, 111 TAU
05,54,50.7, +55,42,25, 4.99, XI AUR
06,50,52.3, -34,22,02, 4.99,
07,02,54.6, -04,14,21, 4.99, 19 MON
07,25,38.8, +09,16,34, 4.99, EP CMI
07,43, 0.4, +58,42,37, 4.99, 24 LYN
08,13,19.9, -15,47,18, 4.99, 20 PUP
08,29,27.5, -44,43,30, 4.99,
10,22,58.1, -66,54,06, 4.99,
11,00,44.7, +06,06,05, 4.99, 59 LEO
11,22,49.5, +43,28,58, 4.99, 56 UMA
12,45, 7.8, +45,26,25, 4.99,
15,59,30.2, -41,44,39, 4.99,
16,01,26.6, +29,51,04, 4.99, JO CRB
16,17, 0.8, -50,04,05, 4.99, GA1 NOR
18,55, 7.0, -22,40,17, 4.99, NY2 SGR
19,13,55.1, +57,42,18, 4.99, 54 DRA
19,46,25.5, +33,43,40, 4.99, 17 CYG
20,04,19.5, -32,03,22, 4.99,
22,08,25.9, -34,02,38, 4.99, YP PSA
03,42,14.9, -31,56,18, 5.00, DE FOR
03,57, 8.2, +61,06,32, 5.00,
05,06,40.6, +51,35,52, 5.00, 9 AUR
05,07,27.0, +18,38,42, 5.00, 104 TAU
05,22,49.9, +03,32,40, 5.00, 23 ORI
06,56, 6.6, -14,02,37, 5.00, MY CMA
07,13,22.2, +16,09,32, 5.00, 51 GEM
09,11, 4.3, -44,52,04, 5.00,
09,37,12.6, +06,50,09, 5.00, 10 LEO
10,43, 4.0, +69,04,34, 5.00,
11,23,12.5, -36,09,54, 5.00,
12,16,30.1, +33,03,41, 5.00,
12,18,59.7, -55,08,35, 5.00,
12,26,59.3, +26,49,32, 5.00, 16 COM
15,22, 8.2, -47,55,40, 5.00, NY1 LUP
16,03,20.5, -25,51,55, 5.00,
16,08, 4.4, +17,02,49, 5.00, KA HER
16,27,58.8, +68,46,05, 5.00, 15 DRA
17,20,18.8, +18,03,25, 5.00,
18,07,28.7, +43,27,42, 5.00,
19,34,34.8, +19,46,24, 5.00, 9 VUL
19,48,58.6, +19,08,31, 5.00, ZE SGE
21,18,27.0, +43,56,46, 5.00, 68 CYG
23,00, 5.0, +56,56,44, 5.00,
23,39,47.0, -14,13,18, 5.00, OM1 AQR
23,57,35.2, -64,17,55, 5.00, ET TUC
02,22,52.3, -73,38,45, 5.01, KA HYI
04,38,53.5, -12,07,23, 5.01,
06,15,44.8, -13,43,06, 5.01,
06,11,15.0, -65,35,22, 5.01, ET2 DOR
07,29,48.7, +27,54,58, 5.01, 65 GEM
07,52,15.6, -34,42,19, 5.01,
08,34,43.7, -49,56,39, 5.01,
09,33,12.4, -21,06,57, 5.01,
09,34, 8.7, -51,15,21, 5.01,
13,41,44.6, -54,33,36, 5.01,
13,41,36.7, -08,42,11, 5.01, 82 VIR
13,56,34.1, +27,29,31, 5.01, 9 BOO
14,12,15.7, +02,24,34, 5.01,
19,01,26.3, +46,56,05, 5.01, 16 LYR
19,06,25.0, -37,03,48, 5.01, GA CRA
19,06,25.0, -37,03,48, 5.01, GA CRA
19,20,32.8, -05,24,57, 5.01, 26 AQL
20,54,33.5, +28,03,28, 5.01, 32 VUL
21,36,56.9, +40,24,49, 5.01, 74 CYG
21,47,44.1, -30,53,54, 5.01, TH PSA
22,21,31.0, +12,12,19, 5.01, 31 PEG
00,02,19.9, -29,43,15, 5.01, ZE SCL
05,02, 9.8, -26,16,31, 5.02,
05,15,24.3, +32,41,16, 5.02, 14 AUR
06,07,31.6, -37,15,10, 5.02, TH COL
06,43, 4.9, +44,31,28, 5.02, PS4 AUR
06,50,45.9, +41,46,53, 5.02, PS7 AUR
10,32,56.9, -47,00,12, 5.02,
12,25,50.9, +39,01,07, 5.02, 6 CVN
12,35, 7.7, +18,22,37, 5.02, 24 COM
15,17, 5.8, +71,49,26, 5.02, 11 UMI
15,30,55.7, +40,49,59, 5.02, NY1 BOO
15,31,46.9, +40,53,58, 5.02, NY2 BOO
16,25,35.1, -23,26,50, 5.02, RH OPH
17,49, 4.1, +50,46,52, 5.02, 30 DRA
18,44,49.8, +02,03,36, 5.02, 4 AQL
19,57,56.9, -15,29,29, 5.02, 61 SGR
21,13,20.4, -70,07,36, 5.02, OK PAV
00,10,19.2, +46,04,20, 5.03, 22 AND
01,08, 0.8, +43,56,32, 5.03, 41 AND
02,06,33.8, +22,38,54, 5.03, KA ARI
02,18,57.0, +28,38,33, 5.03, 10 TRI
03,16,12.1, +50,56,16, 5.03,
03,19, 7.6, +50,05,42, 5.03, 31 PER
03,57,25.3, +63,04,20, 5.03,
04,28,50.2, +13,02,52, 5.03, 79 TAU
04,50,11.5, -16,13,02, 5.03, 60 ERI
05,04,57.9, -49,34,41, 5.03, ET2 PIC
05,20, 0.8, +33,57,28, 5.03, 19 AUR
05,59, 4.3, -09,33,30, 5.03, 2 MON
07,16,49.4, -36,35,34, 5.03,
07,23,28.4, +25,03,02, 5.03, 57 GEM
10,55,44.3, +33,30,25, 5.03, 46 UMA
11,43,31.2, -62,29,21, 5.03,
14,52,50.9, -37,48,11, 5.03,
15,53,20.0, -20,10,02, 5.03, LA LIB
17,01,52.6, -32,08,37, 5.03,
17,18,36.9, +10,51,53, 5.03,
18,13,53.6, +64,23,50, 5.03, 36 DRA
19,25,16.4, -24,30,31, 5.03, CH1 SGR
19,30,39.7, -02,47,20, 5.03, 36 AQL
19,50,37.6, +52,59,17, 5.03, 20 CYG
21,59,14.8, +73,10,48, 5.03, 16 CEP
22,37,45.3, -04,13,41, 5.03, KA AQR
01,46, 6.3, -53,31,19, 5.04,
02,02,18.0, +54,29,16, 5.04, 4 PER
06,03,15.5, -26,17,04, 5.04,
06,16,26.6, +12,16,20, 5.04, 74 ORI
07,45,56.8, -14,33,50, 5.04, 4 PUP
11,32,54.0, -31,05,14, 5.04,
12,04,46.5, -76,31,08, 5.04, KA CHA
13,12, 3.4, -16,11,55, 5.04, 53 VIR
16,28,38.4, +41,52,54, 5.04, 30 HER
16,51,45.2, +24,39,23, 5.04, 51 HER
17,49,26.8, +76,57,46, 5.04, 35 DRA
18,07, 1.4, +30,33,43, 5.04, 99 HER
18,42,37.8, +55,32,22, 5.04, 46 DRA
20,38,31.8, +24,06,58, 5.04, 28 VUL
20,50, 4.8, +44,03,34, 5.04, 56 CYG
21,49,50.6, +30,10,27, 5.04, 14 PEG
22,11,30.6, +59,24,53, 5.04, LA CEP
23,46,23.4, +03,29,13, 5.04, 19 PSC
23,47,54.7, +67,48,25, 5.04,
04,39,54.7, +53,04,47, 5.05, 3 CAM
04,42, 3.4, -37,08,40, 5.05, BE CAE
05,22,33.5, +79,13,52, 5.05,
06,07, 3.4, -62,09,17, 5.05,
06,11,51.7, -06,33,02, 5.05,
07,18,31.9, +49,27,54, 5.05,
07,29,20.3, +28,07,05, 5.05, 64 GEM
07,39,28.6, +17,40,29, 5.05, 74 GEM
08,06,40.3, -45,15,59, 5.05,
08,39, 7.9, -22,39,43, 5.05,
09,52,30.4, -08,06,18, 5.05, GA SEX
10,59,27.9, +40,25,49, 5.05, 47 UMA
13,25, 7.2, -74,53,16, 5.05, JO1 MUS
17,31,57.7, +68,08,06, 5.05, 27 DRA
18,21,32.5, +49,07,18, 5.05,
19,22,51.0, -54,25,25, 5.05, ET TEL
20,01,21.5, +50,06,17, 5.05, 26 CYG
20,39, 7.7, +10,05,10, 5.05, KA DEL
20,51,30.0, -51,36,30, 5.05, JO IND
23,20,20.5, +05,22,53, 5.05, 7 PSC
00,28, 2.9, +17,53,36, 5.06, 47 PSC
03,12,46.4, -01,11,46, 5.06, 94 CET
04,04,27.1, +59,09,20, 5.06,
05,21,46.2, -24,46,23, 5.06,
06,08,44.3, -68,50,36, 5.06, NY DOR
06,27,57.5, -04,45,44, 5.06, 10 MON
06,58,25.0, -34,06,42, 5.06,
07,42,57.2, -45,10,24, 5.06,
09,40,18.3, -14,19,56, 5.06, KA HYA
13,29,25.2, -51,09,55, 5.06,
14,22,22.7, -80,06,32, 5.06, EP APS
15,19,18.7, +01,45,55, 5.06, 5 SER
18,06, 1.8, +22,13,08, 5.06, 98 HER
18,44,20.3, +39,40,12, 5.06, EP1 LYR
19,42,31.0, -16,07,27, 5.06, 55 SGR
19,40,50.1, +45,31,29, 5.06,
23,16,50.8, -07,43,36, 5.06, CH AQR
23,43,22.3, +10,19,54, 5.06, 77 PEG
00,48,58.6, +16,56,26, 5.07, 64 PSC
00,48,35.4, -74,55,25, 5.07, LA HYI
03,48,16.2, +11,08,36, 5.07, 30 TAU
04,30,50.1, -44,57,14, 5.07, DE CAE
04,39, 9.2, +15,47,59, 5.07, SI1 TAU
05,00,20.6, +81,11,39, 5.07,
05,15,24.3, -26,56,36, 5.07,
05,27,38.8, +34,28,33, 5.07, PH AUR
06,47,37.1, -08,59,54, 5.07,
07,40,31.1, +87,01,12, 5.07,
08,18,19.0, -65,36,47, 5.07,
09,31,57.5, +09,42,57, 5.07, 6 LEO
14,14,56.9, -57,05,09, 5.07,
15,39,22.6, +36,38,09, 5.07, ZE2 CRB
16,04,22.0, -11,22,23, 5.07, XI SCO
18,32, 1.9, -45,45,26, 5.07, DE2 TEL
20,06,53.3, +23,36,52, 5.07, 17 VUL
00,36, 8.2, +54,10,07, 5.08,
05,06, 8.4, +58,58,21, 5.08, 11 CAM
05,24,28.9, -00.001,53,29, 5.08, 27 ORI
07,47,24.9, -38,30,40, 5.08,
08,13,58.3, -36,19,21, 5.08,
09,49,57.1, -45,43,58, 5.08,
10,06,11.3, -47,22,12, 5.08,
10,34, 0.8, -23,44,42, 5.08, 44 HYA
10,34,47.9, +06,57,14, 5.08, 48 LEO
10,36,20.3, -59,33,53, 5.08,
10,43,24.9, +23,11,18, 5.08, 41 LMI
11,00,50.3, +39,12,43, 5.08, 49 UMA
11,28,35.0, -42,40,27, 5.08,
14,12,45.9, -27,15,40, 5.08, 50 HYA
17,10,42.2, -44,33,27, 5.08,
17,09,33.1, +40,46,37, 5.08,
18,57,20.4, -20,39,23, 5.08, XI1 SGR
21,53,17.7, -13,33,07, 5.08, MY CAP
21,53, 3.7, +25,55,31, 5.08, 16 PEG
22,35,46.0, +73,38,36, 5.08, 31 CEP
22,44, 5.4, +41,49,09, 5.08, 13 LAC
23,19, 6.6, -13,27,32, 5.08, 94 AQR
23,23, 4.5, +12,18,50, 5.08, 66 PEG
23,52,29.2, +19,07,13, 5.08, PH PEG
00,32,43.8, -63,01,53, 5.09, BE3 TUC
03,22,45.2, +20,44,31, 5.09, TA2 ARI
03,30, 0.2, +55,27,07, 5.09,
03,49,11.1, +24,08,12, 5.09, 28 TAU
06,10,14.6, -74,45,11, 5.09, AL MEN
07,57,18.5, -44,06,35, 5.09,
08,27,36.5, -53,05,19, 5.09,
09,48,35.3, +46,01,15, 5.09,
10,30,17.4, -00.001,38,13, 5.09, BE SEX
11,23,21.8, -18,46,48, 5.09, LA CRT
13,26, 7.7, -39,45,19, 5.09,
15,16,56.7, -60,57,27, 5.09, DE CIR
15,55,29.5, -68,36,11, 5.09, KA TRA
19,06,58.5, +11,04,17, 5.09, 18 AQL
21,45, 0.2, -09,04,57, 5.09, 46 CAP
01,57,21.0, +17,49,03, 5.10, JO ARI
03,42, 9.3, +63,13,01, 5.10,
04,10, 2.8, +80,41,55, 5.10,
04,51,22.4, +18,50,23, 5.10, 97 TAU
06,33,37.8, -01,13,13, 5.10,
07,13,32.3, -44,38,23, 5.10,
07,21,56.8, +20,26,37, 5.10, 56 GEM
07,26,21.8, -51,01,07, 5.10,
08,50,33.4, -46,31,45, 5.10,
10,53,34.3, +54,35,06, 5.10, 44 UMA
12,16, 0.1, +14,53,57, 5.10, 6 COM
13,16,53.1, -31,30,23, 5.10,
14,24,11.3, +05,49,12, 5.10,
18,08,52.8, +20,02,43, 5.10, 101 HER
18,22,18.5, -38,39,25, 5.10,
18,54,43.0, -15,36,11, 5.10,
19,18,32.4, +01,05,07, 5.10, 23 AQL
20,05, 9.4, +19,59,28, 5.10, ET SGE
20,40, 2.9, -18,08,19, 5.10, YP CAP
21,39,33.2, +02,14,37, 5.10, 25 AQR
22,20, 1.4, -80,26,23, 5.10, EP OCT
22,16,26.5, -41,37,39, 5.10, MY2 GRU
23,02,36.2, +42,45,28, 5.10, 2 AND
00,01,49.3, -03,01,39, 5.10, 29 PSC
01,54,21.9, -42,29,50, 5.11, PH PHE
02,57,17.2, +31,56,03, 5.11, 21 PER
03,03,36.8, -59,44,16, 5.11, MY HOR
03,49,32.6, +33,05,29, 5.11, 42 PER
03,53,38.9, -34,43,57, 5.11,
04,34,11.5, -08,13,53, 5.11, 47 ERI
05,49,53.7, -66,54,05, 5.11, EP DOR
07,18,38.2, -36,44,34, 5.11,
07,59, 5.6, -23,18,38, 5.11, 12 PUP
09,26,18.0, -53,22,45, 5.11,
09,33,53.4, -80,56,29, 5.11, ZE CHA
11,23,21.8, -64,57,18, 5.11,
11,48,45.0, -26,44,59, 5.11,
14,56,44.0, -62,46,51, 5.11, TH CIR
15,35,14.8, +39,00,36, 5.11, MY CRB
15,51,15.5, -03,05,26, 5.11, 36 SER
19,30,45.2, +27,57,55, 5.11, BE2 CYG
19,51, 1.5, +10,24,56, 5.11, OK AQL
20,33,55.0, -44,30,58, 5.11, NY MIC
20,48,29.0, -43,59,19, 5.11, JO MIC
21,40,11.0, +43,16,26, 5.11, 75 CYG
22,05, 8.8, +62,16,48, 5.11, 19 CEP
23,03,29.7, -34,44,58, 5.11, PI PSA
23,52, 6.8, -82,01,08, 5.11, GA1 OCT
00,14,27.5, -07,46,50, 5.12,
00,21,46.3, -20,03,28, 5.12,
01,29,36.1, -21,37,46, 5.12, 48 CET
04,23,51.8, +09,27,39, 5.12, 66 TAU
05,06,45.6, -04,39,18, 5.12, 66 ERI
05,08,43.6, -04,27,22, 5.12, 68 ERI
06,53,42.2, +68,53,18, 5.12, 43 CAM
08,05, 4.4, +13,07,05, 5.12, 8 CNC
09,16,23.0, -44,15,57, 5.12,
09,33,44.4, -49,00,18, 5.12,
10,41,56.5, +65,42,58, 5.12, 38 UMA
12,46,38.7, +16,34,39, 5.12, 27 COM
14,23,22.6, +08,26,48, 5.12,
14,44,59.1, +27,04,30, 5.12, EP BOO
